FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2
2012,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Latin America and Caribbean Regional,Latin America and Caribbean Region,Health,Maternal and Child Health," $436,374.25 ",436374.25,436374.25
2013,2,Disbursements,N/A,U.S.A.I.D,Cambodia,Cambodia,Health,Other Public Health Threats," $39,655.95 ",39655.95,39655.95
2011,4,Disbursements,N/A, MCC ,Lesotho,Lesotho,DRG,Rule of Law and Human Rights," $784,275.54 ",784275.54,784275.54
2009,3,Disbursements,Development Assistance, USAID ,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Peace and Security,Conflict Mitigation and Reconciliation," $1,806,605.23 ",1806605.23,1806605.23
2009,4,Obligations,International Disaster Assistance, USAID ,"USAID Democracy, Conflict and Humanitarian Assistance",Thailand,Program Management,Direct Administrative Costs," $7,691.87 ",7691.87,7691.87
2011,4,Disbursements,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Burundi,Peace and Security,Conflict Mitigation and Reconciliation," $165,389.00 ",165389,165389
2013,1,Obligations,Global Health & Child Survival,U.S.A.I.D,Guatemala,Guatemala,Health,Family Planning and Reproductive Health," $189,333.00 ",189333,189333
2009,4,Disbursements,Economic Support Fund, USAID ,Liberia,Liberia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $203,243.33 ",203243.33,203243.33
2011,4,Obligations,Global Health & Child Survival,U.S.A.I.D,Nicaragua,Nicaragua,Health,Family Planning and Reproductive Health," $860,605.00 ",860605,860605
2009,3,Disbursements,Assist. For N.I.S Of Former Soviet Union, USAID ,USAID Central Asia Regional,Central Asia Region,Economic Development,Infrastructure," $59,211.75 ",59211.75,59211.75
2013,,Obligations,N/A,Treasury,Djibouti,Djibouti,,Financial Sector," $575,508.60 ",575508.6,575508.6
2012,1,Obligations,Development Assistance,usaid,Morocco,Morocco,Program Management,Monitoring and Evaluation," $(3,303.41)",-3303.41,-3303.41
2011,1,Disbursements,Development Assistance,usaid,Zambia,Zambia,Economic Development,Agriculture," $1,004,898.44 ",1004898.44,1004898.44
2012,2,Obligations,Economic Support Fund,usaid,USAID Regional Development Mission-Asia,East Asia Region,"Democracy, Human Rights, and Governance",Good Governance," $649,000.00 ",649000,649000
2014,2,Disbursements,Transition Initiatives,usaid,Yemen,Yemen,Program Management,Direct Administrative Costs," $453,738.89 ",453738.89,453738.89
2012,4,Obligations,Development Assistance,U.S.A.I.D,Ethiopia,Ethiopia,Health,Water Supply and Sanitation," $7,682,692.00 ",7682692,7682692
2014,1,Obligations,N/A,PEACE CORPS,Worldwide,Worldwide,,Multi-Sector - Unspecified," $51,181.97 ",51181.97,51181.97
2010,2,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,El Salvador,El Salvador,Health,Maternal and Child Health," $628,190.04 ",628190.04,628190.04
2009,3,Obligations,N/A, MCC ,Namibia,Namibia,multi-sector,Multi-Sector - Unspecified," $172,534.23 ",172534.23,172534.23
2013,3,Disbursements,N/A,usaid,Ghana,Ghana,Economic Development,Agriculture," $3,701,805.30 ",3701805.3,3701805.3
2011,2,Disbursements,Development Assistance,usaid,USAID East Africa Regional,East Africa Region,DRG,Civil Society," $6,184.94 ",6184.94,6184.94
2011,1,Obligations,Development Assistance,usaid,Mongolia,Mongolia,Economic Development,Private Sector Competitiveness," $(60,000.00)",-60000,-60000
2010,4,Obgl.,Economic Support Fund,usaid,"USAID Economic Growth, Education and Environment",Worldwide,Peace and Security,Conflict Mitigation and Reconciliation, $(0.01),-.01,-.01
2014,2,Disbursements,N/A,usaid,Eurasia Region,Eurasia Region,Program Management,Monitoring and Evaluation," $228,256.89 ",228256.89,228256.89
2010,2,Obgl.,Economic Support Fund,usaid,USAID Operating Expense,Worldwide,ENVIRONMENT,Natural Resources and Biodiversity, $30.34 ,30.34,30.34
2009,4,Disbursements,Economic Support Fund, USAID ,Haiti,Haiti,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $453,558.47 ",453558.47,453558.47
2009,3,Obligations,N/A, MCC ,Benin,Benin,Program Management,Direct Administrative Costs, $-   ,,
2010,,Obgl.,N/A,IAF,Brazil,Brazil,,Social Services," $501,730.00 ",501730,501730
2012,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,Kyrgyz Republic,Kosovo,Health,Tuberculosis," $209,635.45 ",209635.45,209635.45
2009,3,Obligations,Economic Support Fund, USAID ,West Bank and Gaza,West Bank and Gaza,Peace and Security,Transnational Crime," $150,000.00 ",150000,150000
2012,4,Disbursements,Economic Support Fund,usaid,Iraq,Iraq,Econ. Dev.,Financial Sector," $4,942,364.02 ",4942364.02,4942364.02
2009,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Operating Expense,Worldwide,Health,HIV/AIDS, $48.71 ,48.71,48.71
2011,1,Disbursements,Economic Support Fund,usaid,USAID Operating Expense,Worldwide,Education and Social Services,Social Services, $57.55 ,57.55,57.55
2012,1,Disbursements,Tech. Assistance,usaid,Kazakhstan,Kazakhstan,Econ. Dev.,Macroeconomic Foundation for Growth," $137,356.67 ",137356.67,137356.67
2009,3,Disbursements,Special Assistance Initiatives, USAID ,Joint Eurasia Regional,Eastern European Region,Education and Social Services,"Social Policies, Regulations, and Systems"," $161,032.28 ",161032.28,161032.28
2011,1,Disbursements,Operating Expenses,usaid,Sri Lanka,Worldwide,Program Management,Direct Administrative Costs," $496,359.97 ",496359.97,496359.97
2011,4,Obligations,Transition Initiatives,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Cote d'Ivoire,Program Management,Monitoring and Evaluation," $37,803.00 ",37803,37803
2014,2,Obligations,International Disaster Assistance,usaid,Jamaica,Jamaica,Humanitarian Assistance,Disaster Readiness," $250,000.00 ",250000,250000
2012,4,Disbursements,Assist. For N.I.S Of Former Soviet Union,usaid,Joint Eurasia Regional,Eurasia Region,Econ. Dev.,Infrastructure," $250,192.11 ",250192.11,250192.11
20014,0,Disbursements,N/A,DoD,"Korea, South","Korea, South",Peace and Security,Combating Weapons of Mass Destruction (WMD)," $35,020.00 ",35020,35020
2014,2,Obligations,Child Survival and Health Programs Fund,usaid,Sri Lanka,Sri Lanka,Program Management,Direct Administrative Costs, $(9.53),-9.529999999999999,-9.529999999999999
2012,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Liberia,Health,Malaria," $(22,694.00)",-22694,-22694
2013,1,Obligations,N/A,usaid,Uzbekistan,Uzbekistan,"Democracy, Human Rights, and Governance",Civil Society," $211,000.00 ",211000,211000
2009,2,Disbursements,Development Assistance, USAID ,USAID Africa Regional,Africa Region,Program Management,Monitoring and Evaluation," $(131,943.37)",-131943.37,-131943.37
2014,2,Obligations,N/A,usaid,Central Asia Region,Central Asia Region,Program Management,Direct Administrative Costs," $(9,014.49)",-9014.49,-9014.49
2008,4,Disbursements,N/A, MCC ,Mozambique,Mozambique,Economic Development,Private Sector Competitiveness," $22,146.30 ",22146.3,22146.3
2013,3,Disbursements,N/A, MCC ,Benin,Benin,multi-sector,Multi-Sector - Unspecified," $78,673.52 ",78673.52,78673.52
2013,1,Disbursements,Gifts and Donations,usaid,Timor-Leste,Timor-Leste,Economic Development,Agriculture," $551,050.36 ",551050.36,551050.36
2013,1,Disbursements,International Disaster Assistance,usaid,"Korea, North","Korea, North",Humanitarian Assistance,"Protection, Assistance and Solutions"," $16,259.66 ",16259.66,16259.66
2013,1,Obligations,N/A, MCC ,Ghana,Ghana,Economic Development,Macroeconomic Foundation for Growth, $(0.12),-.12,-.12
2012,3,Disbursements,Development Assistance,U.S.A.I.D,USAID East Africa Regional,East Africa Region,Health,Water Supply and Sanitation," $535,186.04 ",535186.04,535186.04
2013,4,Obligations,N/A,usaid,Kyrgyz Republic,Kyrgyz Republic,Economic Development,Agriculture," $339,300.00 ",339300,339300
2009,2,Disbursements,Development Assistance, USAID ,Peru,Peru,Education and Social Services,Basic Education," $619,278.95 ",619278.95,619278.95
2013,3,Disbursements,Transition Initiatives,usaid,Afghanistan,Afghanistan,Program Management,Monitoring and Evaluation," $2,359.18 ",2359.18,2359.18
2011,2,Disbursements,Development Assistance,usaid,Lebanon,Lebanon,Humanitarian Assistance,"Protection, Assistance and Solutions"," $13,039.99 ",13039.99,13039.99
2012,3,Disbursements,Development Assistance,usaid,Kenya,Kenya,Econ. Dev.,Economic Opportunity," $771,018.21 ",771018.21,771018.21
2013,2,Disbursements,N/A,USDA,Tanzania,Tanzania,,Nutrition," $364,758.29 ",364758.29,364758.29
2012,1,Disbursements,Economic Support Fund,usaid,Zimbabwe,Zimbabwe,Program Management,Direct Administrative Costs," $359,855.89 ",359855.89,359855.89
2013,1,Disbursements,N/A,U.S.A.I.D,Bangladesh,Bangladesh,Health,Water Supply and Sanitation," $566,674.80 ",566674.8000000001,566674.8000000001
2011,2,Disbursements,Development Assistance,usaid,Nicaragua,Nicaragua,Humanitarian Assistance,"Protection, Assistance and Solutions"," $33,993.68 ",33993.68,33993.68
2013,2,Obligations,N/A,usaid,Central Asia Region,Central Asia Region,"Democracy, Human Rights, and Governance",Civil Society," $300,000.00 ",300000,300000
2012,2,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Marshall Islands,Program Management,Direct Administrative Costs," $162,135.00 ",162135,162135
2011,3,Obligations,Transition Initiatives,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Venezuela,Program Management,Direct Administrative Costs," $(2,951.89)",-2951.89,-2951.89
2011,3,Disbursements,Economic Support Fund,usaid,Mexico,Mexico,Education and Social Services,Higher Education," $768,893.94 ",768893.9399999999,768893.9399999999
2009,3,Obligations,International Disaster Assistance, USAID ,"USAID Democracy, Conflict and Humanitarian Assistance",Angola,Humanitarian Assistance,"Protection, Assistance and Solutions"," $501,475.00 ",501475,501475
2011,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Georgia,Georgia,DRG,Civil Society," $400,672.86 ",400672.86,400672.86
2010,4,Disbsmnt.,Development Assistance,usaid,Senegal,Senegal,"Democracy, Human Rights, and Governance",Civil Society," $37,785.09 ",37785.09,37785.09
2009,4,Obligations,Global Health & Child Survival,U.S.A.I.D,Zambia,Zambia,Health,Family Planning and Reproductive Health," $6,500,000.00 ",6500000,6500000
2012,4,Disbursements,Economic Support Fund,usaid,USAID Central America Regional,Central American Region,ENVIRONMENT,Clean Productive Environment," $85,804.70 ",85804.7,85804.7
2011,4,Obligations,Development Assistance,usaid,"Bureau for Policy, Planning and Learning (USAID)",Worldwide,DRG,Political Competition and Consensus-Building," $1,215,287.60 ",1215287.6,1215287.6
2013,4,Obligations,Transition Initiatives,usaid,Libya,Libya,Program Management,Direct Administrative Costs," $347,738.59 ",347738.59,347738.59
2010,4,Obgl.,Economic Support Fund,usaid,Jordan,Jordan,Economic Development,Macroeconomic Foundation for Growth," $170,200,000.00 ",170200000,170200000
2009,4,Disbursements,Global Health & Child Survival, USAID ,Laos,Laos,Program Management,Direct Administrative Costs," $1,202.46 ",1202.46,1202.46
2010,4,Disbsmnt.,Special Assistance Initiatives,usaid,Joint Eurasia Regional,Eastern European Region,Peace and Security,Transnational Crime," $147,778.27 ",147778.27,147778.27
2012,1,Disbursements,Economic Support Fund,usaid,El Salvador,El Salvador,Education and Social Services,Social Assistance," $2,743,104.00 ",2743104,2743104
2012,3,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,USAID Global Health,Kenya,Health,Family Planning and Reproductive Health," $68,939.00 ",68939,68939
2010,1,Disbsmnt.,Economic Support Fund,U.S.A.I.D,Egypt,Egypt,Health,Maternal and Child Health," $827,473.27 ",827473.27,827473.27
2013,3,Disbursements,Democracy Fund,usaid,Guyana,Guyana,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $42,000.00 ",42000,42000
2009,,Obligations,N/A,USADF,Burundi,Burundi,,Agriculture," $442,065.00 ",442065,442065
2011,1,Disbursements,Development Assistance,U.S.A.I.D,USAID Southern Africa Regional,South Africa Region,Health,Water Supply and Sanitation," $40,020.16 ",40020.16,40020.16
2009,2,Disbursements,Development Assistance, USAID ,Uganda,Uganda,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $17,134.71 ",17134.71,17134.71
2009,2,Disbursements,Development Assistance, USAID ,USAID Africa Regional,Africa Region,Economic Development,Trade and Investment," $339,965.97 ",339965.97,339965.97
2013,3,Disbursements,Economic Support Fund,U.S.A.I.D,West Bank and Gaza,West Bank and Gaza,Health,Other Public Health Threats," $220,183.74 ",220183.74,220183.74
2009,2,Obligations,Transition Initiatives, USAID ,"USAID Democracy, Conflict and Humanitarian Assistance",Zimbabwe,Program Management,Direct Administrative Costs," $111,374.00 ",111374,111374
2012,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Haiti,Health,HIV/AIDS," $300,000.00 ",300000,300000
2013,3,Obligations,N/A,usaid,Ghana,Ghana,Program Management,Direct Administrative Costs," $938,900.47 ",938900.47,938900.47
2011,2,Disbursements,Special Assistance Initiatives,usaid,Albania,Albania,DRG,Political Competition and Consensus-Building," $(1,377.52)",-1377.52,-1377.52
2013,1,Disbursements,Child Survival and Health Programs Fund,usaid,Tanzania,Tanzania,Program Management,Direct Administrative Costs, $305.99 ,305.99,305.99
2011,4,Obligations,Global Health & Child Survival,usaid,China,East Asia Region,Program Management,Direct Administrative Costs," $98,291.18 ",98291.17999999999,98291.17999999999
2009,2,Disbursements,N/A, MCC ,Mali,Mali,Program Management,Direct Administrative Costs," $934,658.45 ",934658.45,934658.45
2010,1,Obgl.,Development Assistance,usaid,"Congo, Democratic Republic of","Congo, Democratic Republic of",Economic Development,Economic Opportunity," $116,469.00 ",116469,116469
2011,4,Disbursements,Development Assistance,usaid,USAID Caribbean Regional,Caribbean Region,Economic Development,Private Sector Competitiveness," $127,610.47 ",127610.47,127610.47
2011,4,Obligations,Operating Expenses,usaid,Guinea,Worldwide,Program Management,Direct Administrative Costs," $1,256,799.96 ",1256799.96,1256799.96
2009,4,Obligations,Operating Expenses, USAID ,Haiti,Worldwide,Program Management,Direct Administrative Costs," $2,878,575.60 ",2878575.6,2878575.6
2012,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Turkmenistan,Turkmenistan,Econ. Dev.,Private Sector Competitiveness," $50,631.29 ",50631.29,50631.29
2010,1,Disbsmnt.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Vietnam,Program Management,Direct Administrative Costs," $1,287.22 ",1287.22,1287.22
2013,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,West Africa Region,West Africa Region,Health,Family Planning and Reproductive Health," $625,325.37 ",625325.37,625325.37
2009,3,Disbursements,Development Assistance, USAID ,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",ENVIRONMENT,Natural Resources and Biodiversity," $947,766.50 ",947766.5,947766.5
2010,3,Disbsmnt.,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Tajikistan,Tajikistan,Health,Tuberculosis," $11,451.56 ",11451.56,11451.56
2014,2,Disbursements,N/A,PEACE CORPS,Armenia,Armenia,,Environment - General," $3,435.49 ",3435.49,3435.49
2011,2,Disbursements,N/A,usaid,Guatemala,Guatemala,Economic Development,Agriculture," $545,760.00 ",545760,545760
2012,2,Disbursements,Democracy Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Ukraine,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $298,541.68 ",298541.68,298541.68
2012,4,Obligations,Development Assistance,usaid,Dominican Republic,Dominican Republic,"Democracy, Human Rights, and Governance",Good Governance," $1,344,721.00 ",1344721,1344721
2010,4,Obgl.,Economic Support Fund,usaid,USAID Latin America and Caribbean Regional,Latin America and Caribbean Region,"Democracy, Human Rights, and Governance",Good Governance," $3,435,000.00 ",3435000,3435000
2010,4,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Liberia,Liberia,Health,Malaria," $369,742.41 ",369742.41,369742.41
2010,4,Obgl.,Economic Support Fund,usaid,Panama,Panama,"Democracy, Human Rights, and Governance",Good Governance," $1,000,000.00 ",1000000,1000000
2010,2,Obgl.,Global HIV/AIDS Initiative,U.S.A.I.D,Rwanda,Rwanda,Health,HIV/AIDS, $(832.77),-832.77,-832.77
2011,2,Disbursements,Operating Expenses,usaid,USAID Latin America and Caribbean Regional,Worldwide,Program Management,Direct Administrative Costs," $2,771,988.45 ",2771988.45,2771988.45
2010,4,Obgl.,Economic Support Fund,usaid,Somalia,Somalia,Program Management,Direct Administrative Costs," $2,179,749.02 ",2179749.02,2179749.02
2010,4,Disbsmnt.,Assist. For N.I.S Of Former Soviet Union,usaid,Armenia,Eurasia Region,Peace and Security,Stabilization Operations and Security Sector Reform," $8,609.77 ",8609.77,8609.77
