FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2,notCountry
2013,,Obligations,Unknown,Treasury,Djibouti,Djibouti,Missing,Financial Sector," $575,508.60 ",575508.6,575508.6,0
2012,1,Obligations,Development Assistance,USAID,Morocco,Morocco,Program Management,Monitoring and Evaluation," $(3,303.41)",-3303.41,-3303.41,0
2011,1,Disbursements,Development Assistance,USAID,Zambia,Zambia,Economic Development,Agriculture," $1,004,898.44 ",1004898.44,1004898.44,0
2012,2,Obligations,Economic Support Fund,USAID,USAID Regional Development Mission-Asia,East Asia Region,"Democracy, Human Rights, And Governance",Good Governance," $649,000.00 ",649000,649000,1
2014,2,Disbursements,Transition Initiatives,USAID,Yemen,Yemen,Program Management,Direct Administrative Costs," $453,738.89 ",453738.89,453738.89,0
2012,4,Obligations,Development Assistance,USAID,Ethiopia,Ethiopia,Health,Water Supply and Sanitation," $7,682,692.00 ",7682692,7682692,0
2014,1,Obligations,Unknown,Peace Corps,Worldwide,Worldwide,Missing,Multi-Sector - Unspecified," $51,181.97 ",51181.97,51181.97,0
2010,2,Disbursements,Global Health & Child Survival,USAID,El Salvador,El Salvador,Health,Maternal and Child Health," $628,190.04 ",628190.04,628190.04,0
2009,3,Obligations,Unknown,MCC,Namibia,Namibia,Multi-Sector,Multi-Sector - Unspecified," $172,534.23 ",172534.23,172534.23,0
2013,3,Disbursements,Unknown,USAID,Ghana,Ghana,Economic Development,Agriculture," $3,701,805.30 ",3701805.3,3701805.3,0
2011,2,Disbursements,Development Assistance,USAID,USAID East Africa Regional,East Africa Region,"Democracy, Human Rights, And Governance",Civil Society," $6,184.94 ",6184.94,6184.94,1
2011,1,Obligations,Development Assistance,USAID,Mongolia,Mongolia,Economic Development,Private Sector Competitiveness," $(60,000.00)",-60000,-60000,0
2010,4,Obligations,Economic Support Fund,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Peace And Security,Conflict Mitigation and Reconciliation, $(0.01),-.01,-.01,0
2014,2,Disbursements,Unknown,USAID,Eurasia Region,Eurasia Region,Program Management,Monitoring and Evaluation," $228,256.89 ",228256.89,228256.89,1
2010,2,Obligations,Economic Support Fund,USAID,USAID Operating Expense,Worldwide,Environment,Natural Resources and Biodiversity, $30.34 ,30.34,30.34,0
2009,4,Disbursements,Economic Support Fund,USAID,Haiti,Haiti,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $453,558.47 ",453558.47,453558.47,0
2009,3,Obligations,Unknown,MCC,Benin,Benin,Program Management,Direct Administrative Costs, $-   ,,,0
2010,,Obligations,Unknown,IAF,Brazil,Brazil,Missing,Social Services," $501,730.00 ",501730,501730,0
2012,2,Disbursements,Global Health & Child Survival,USAID,Kyrgyz Republic,Kosovo,Health,Tuberculosis," $209,635.45 ",209635.45,209635.45,0
2009,3,Obligations,Economic Support Fund,USAID,West Bank and Gaza,West Bank and Gaza,Peace And Security,Transnational Crime," $150,000.00 ",150000,150000,0
2012,4,Disbursements,Economic Support Fund,USAID,Iraq,Iraq,Economic Development,Financial Sector," $4,942,364.02 ",4942364.02,4942364.02,0
2009,2,Disbursements,Global Health & Child Survival,USAID,USAID Operating Expense,Worldwide,Health,HIV/AIDS, $48.71 ,48.71,48.71,0
2011,1,Disbursements,Economic Support Fund,USAID,USAID Operating Expense,Worldwide,Education And Social Services,Social Services, $57.55 ,57.55,57.55,0
2012,1,Disbursements,Tech. Assistance,USAID,Kazakhstan,Kazakhstan,Economic Development,Macroeconomic Foundation for Growth," $137,356.67 ",137356.67,137356.67,0
2009,3,Disbursements,Special Assistance Initiatives,USAID,Joint Eurasia Regional,Eastern European Region,Education And Social Services,"Social Policies, Regulations, and Systems"," $161,032.28 ",161032.28,161032.28,1
2011,1,Disbursements,Operating Expenses,USAID,Sri Lanka,Worldwide,Program Management,Direct Administrative Costs," $496,359.97 ",496359.97,496359.97,0
2011,4,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Cote d'Ivoire,Program Management,Monitoring and Evaluation," $37,803.00 ",37803,37803,0
2014,2,Obligations,International Disaster Assistance,USAID,Jamaica,Jamaica,Humanitarian Assistance,Disaster Readiness," $250,000.00 ",250000,250000,0
2012,4,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Joint Eurasia Regional,Eurasia Region,Economic Development,Infrastructure," $250,192.11 ",250192.11,250192.11,1
2014,,Disbursements,Unknown,DOD,"Korea, South","Korea, South",Peace And Security,Combating Weapons of Mass Destruction (WMD)," $35,020.00 ",35020,35020,0
2014,2,Obligations,Child Survival and Health Programs Fund,USAID,Sri Lanka,Sri Lanka,Program Management,Direct Administrative Costs, $(9.53),-9.529999999999999,-9.529999999999999,0
2012,2,Disbursements,Global Health & Child Survival,USAID,USAID Global Health,Liberia,Health,Malaria," $(22,694.00)",-22694,-22694,0
2013,1,Obligations,Unknown,USAID,Uzbekistan,Uzbekistan,"Democracy, Human Rights, And Governance",Civil Society," $211,000.00 ",211000,211000,0
2009,2,Disbursements,Development Assistance,USAID,USAID Africa Regional,Africa Region,Program Management,Monitoring and Evaluation," $(131,943.37)",-131943.37,-131943.37,1
2014,2,Obligations,Unknown,USAID,Central Asia Region,Central Asia Region,Program Management,Direct Administrative Costs," $(9,014.49)",-9014.49,-9014.49,1
2008,4,Disbursements,Unknown,MCC,Mozambique,Mozambique,Economic Development,Private Sector Competitiveness," $22,146.30 ",22146.3,22146.3,0
2013,3,Disbursements,Unknown,MCC,Benin,Benin,Multi-Sector,Multi-Sector - Unspecified," $78,673.52 ",78673.52,78673.52,0
2013,1,Disbursements,Gifts and Donations,USAID,Timor-Leste,Timor-Leste,Economic Development,Agriculture," $551,050.36 ",551050.36,551050.36,0
2013,1,Disbursements,International Disaster Assistance,USAID,"Korea, North","Korea, North",Humanitarian Assistance,"Protection, Assistance and Solutions"," $16,259.66 ",16259.66,16259.66,0
2013,1,Obligations,Unknown,MCC,Ghana,Ghana,Economic Development,Macroeconomic Foundation for Growth, $(0.12),-.12,-.12,0
2012,3,Disbursements,Development Assistance,USAID,USAID East Africa Regional,East Africa Region,Health,Water Supply and Sanitation," $535,186.04 ",535186.04,535186.04,1
2013,4,Obligations,Unknown,USAID,Kyrgyz Republic,Kyrgyz Republic,Economic Development,Agriculture," $339,300.00 ",339300,339300,0
2009,2,Disbursements,Development Assistance,USAID,Peru,Peru,Education And Social Services,Basic Education," $619,278.95 ",619278.95,619278.95,0
2013,3,Disbursements,Transition Initiatives,USAID,Afghanistan,Afghanistan,Program Management,Monitoring and Evaluation," $2,359.18 ",2359.18,2359.18,0
2011,2,Disbursements,Development Assistance,USAID,Lebanon,Lebanon,Humanitarian Assistance,"Protection, Assistance and Solutions"," $13,039.99 ",13039.99,13039.99,0
2012,3,Disbursements,Development Assistance,USAID,Kenya,Kenya,Economic Development,Economic Opportunity," $771,018.21 ",771018.21,771018.21,0
2013,2,Disbursements,Unknown,USDA,Tanzania,Tanzania,Missing,Nutrition," $364,758.29 ",364758.29,364758.29,0
2012,1,Disbursements,Economic Support Fund,USAID,Zimbabwe,Zimbabwe,Program Management,Direct Administrative Costs," $359,855.89 ",359855.89,359855.89,0
2013,1,Disbursements,Unknown,USAID,Bangladesh,Bangladesh,Health,Water Supply and Sanitation," $566,674.80 ",566674.8000000001,566674.8000000001,0
2011,2,Disbursements,Development Assistance,USAID,Nicaragua,Nicaragua,Humanitarian Assistance,"Protection, Assistance and Solutions"," $33,993.68 ",33993.68,33993.68,0
2013,2,Obligations,Unknown,USAID,Central Asia Region,Central Asia Region,"Democracy, Human Rights, And Governance",Civil Society," $300,000.00 ",300000,300000,1
2012,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Marshall Islands,Program Management,Direct Administrative Costs," $162,135.00 ",162135,162135,0
2011,3,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Venezuela,Program Management,Direct Administrative Costs," $(2,951.89)",-2951.89,-2951.89,0
2011,3,Disbursements,Economic Support Fund,USAID,Mexico,Mexico,Education And Social Services,Higher Education," $768,893.94 ",768893.9399999999,768893.9399999999,0
2009,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Angola,Humanitarian Assistance,"Protection, Assistance and Solutions"," $501,475.00 ",501475,501475,0
2011,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Georgia,Georgia,"Democracy, Human Rights, And Governance",Civil Society," $400,672.86 ",400672.86,400672.86,0
2010,4,Disbursements,Development Assistance,USAID,Senegal,Senegal,"Democracy, Human Rights, And Governance",Civil Society," $37,785.09 ",37785.09,37785.09,0
2009,4,Obligations,Global Health & Child Survival,USAID,Zambia,Zambia,Health,Family Planning and Reproductive Health," $6,500,000.00 ",6500000,6500000,0
2012,4,Disbursements,Economic Support Fund,USAID,USAID Central America Regional,Central American Region,Environment,Clean Productive Environment," $85,804.70 ",85804.7,85804.7,1
2011,4,Obligations,Development Assistance,USAID,"Bureau for Policy, Planning and Learning (USAID)",Worldwide,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $1,215,287.60 ",1215287.6,1215287.6,0
2013,4,Obligations,Transition Initiatives,USAID,Libya,Libya,Program Management,Direct Administrative Costs," $347,738.59 ",347738.59,347738.59,0
2010,4,Obligations,Economic Support Fund,USAID,Jordan,Jordan,Economic Development,Macroeconomic Foundation for Growth," $170,200,000.00 ",170200000,170200000,0
2009,4,Disbursements,Global Health & Child Survival,USAID,Laos,Laos,Program Management,Direct Administrative Costs," $1,202.46 ",1202.46,1202.46,0
2010,4,Disbursements,Special Assistance Initiatives,USAID,Joint Eurasia Regional,Eastern European Region,Peace And Security,Transnational Crime," $147,778.27 ",147778.27,147778.27,1
2012,1,Disbursements,Economic Support Fund,USAID,El Salvador,El Salvador,Education And Social Services,Social Assistance," $2,743,104.00 ",2743104,2743104,0
2012,3,Disbursements,Child Survival and Health Programs Fund,USAID,USAID Global Health,Kenya,Health,Family Planning and Reproductive Health," $68,939.00 ",68939,68939,0
2010,1,Disbursements,Economic Support Fund,USAID,Egypt,Egypt,Health,Maternal and Child Health," $827,473.27 ",827473.27,827473.27,0
2013,3,Disbursements,Democracy Fund,USAID,Guyana,Guyana,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $42,000.00 ",42000,42000,0
2009,,Obligations,Unknown,USADF,Burundi,Burundi,Missing,Agriculture," $442,065.00 ",442065,442065,0
2011,1,Disbursements,Development Assistance,USAID,USAID Southern Africa Regional,South Africa Region,Health,Water Supply and Sanitation," $40,020.16 ",40020.16,40020.16,1
2009,2,Disbursements,Development Assistance,USAID,Uganda,Uganda,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $17,134.71 ",17134.71,17134.71,0
2009,2,Disbursements,Development Assistance,USAID,USAID Africa Regional,Africa Region,Economic Development,Trade and Investment," $339,965.97 ",339965.97,339965.97,1
2013,3,Disbursements,Economic Support Fund,USAID,West Bank and Gaza,West Bank and Gaza,Health,Other Public Health Threats," $220,183.74 ",220183.74,220183.74,0
2009,2,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Zimbabwe,Program Management,Direct Administrative Costs," $111,374.00 ",111374,111374,0
2012,3,Disbursements,Global Health & Child Survival,USAID,USAID Global Health,Haiti,Health,HIV/AIDS," $300,000.00 ",300000,300000,0
2013,3,Obligations,Unknown,USAID,Ghana,Ghana,Program Management,Direct Administrative Costs," $938,900.47 ",938900.47,938900.47,0
2011,2,Disbursements,Special Assistance Initiatives,USAID,Albania,Albania,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $(1,377.52)",-1377.52,-1377.52,0
2013,1,Disbursements,Child Survival and Health Programs Fund,USAID,Tanzania,Tanzania,Program Management,Direct Administrative Costs, $305.99 ,305.99,305.99,0
2011,4,Obligations,Global Health & Child Survival,USAID,China,East Asia Region,Program Management,Direct Administrative Costs," $98,291.18 ",98291.17999999999,98291.17999999999,1
2009,2,Disbursements,Unknown,MCC,Mali,Mali,Program Management,Direct Administrative Costs," $934,658.45 ",934658.45,934658.45,0
2010,1,Obligations,Development Assistance,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Economic Development,Economic Opportunity," $116,469.00 ",116469,116469,0
2011,4,Disbursements,Development Assistance,USAID,USAID Caribbean Regional,Caribbean Region,Economic Development,Private Sector Competitiveness," $127,610.47 ",127610.47,127610.47,1
2011,4,Obligations,Operating Expenses,USAID,Guinea,Worldwide,Program Management,Direct Administrative Costs," $1,256,799.96 ",1256799.96,1256799.96,0
2009,4,Obligations,Operating Expenses,USAID,Haiti,Worldwide,Program Management,Direct Administrative Costs," $2,878,575.60 ",2878575.6,2878575.6,0
2012,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Turkmenistan,Turkmenistan,Economic Development,Private Sector Competitiveness," $50,631.29 ",50631.29,50631.29,0
2010,1,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Vietnam,Program Management,Direct Administrative Costs," $1,287.22 ",1287.22,1287.22,0
2013,3,Disbursements,Global Health & Child Survival,USAID,West Africa Region,West Africa Region,Health,Family Planning and Reproductive Health," $625,325.37 ",625325.37,625325.37,1
2009,3,Disbursements,Development Assistance,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Environment,Natural Resources and Biodiversity," $947,766.50 ",947766.5,947766.5,0
2010,3,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Tajikistan,Tajikistan,Health,Tuberculosis," $11,451.56 ",11451.56,11451.56,0
2014,2,Disbursements,Unknown,Peace Corps,Armenia,Armenia,Missing,Environment - General," $3,435.49 ",3435.49,3435.49,0
2011,2,Disbursements,Unknown,USAID,Guatemala,Guatemala,Economic Development,Agriculture," $545,760.00 ",545760,545760,0
2012,2,Disbursements,Democracy Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Ukraine,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $298,541.68 ",298541.68,298541.68,0
2012,4,Obligations,Development Assistance,USAID,Dominican Republic,Dominican Republic,"Democracy, Human Rights, And Governance",Good Governance," $1,344,721.00 ",1344721,1344721,0
2010,4,Obligations,Economic Support Fund,USAID,USAID Latin America and Caribbean Regional,Latin America and Caribbean Region,"Democracy, Human Rights, And Governance",Good Governance," $3,435,000.00 ",3435000,3435000,1
2010,4,Disbursements,Global Health & Child Survival,USAID,Liberia,Liberia,Health,Malaria," $369,742.41 ",369742.41,369742.41,0
2010,4,Obligations,Economic Support Fund,USAID,Panama,Panama,"Democracy, Human Rights, And Governance",Good Governance," $1,000,000.00 ",1000000,1000000,0
2010,2,Obligations,Global HIV/AIDS Initiative,USAID,Rwanda,Rwanda,Health,HIV/AIDS, $(832.77),-832.77,-832.77,0
2011,2,Disbursements,Operating Expenses,USAID,USAID Latin America and Caribbean Regional,Worldwide,Program Management,Direct Administrative Costs," $2,771,988.45 ",2771988.45,2771988.45,0
2010,4,Obligations,Economic Support Fund,USAID,Somalia,Somalia,Program Management,Direct Administrative Costs," $2,179,749.02 ",2179749.02,2179749.02,0
2010,4,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Armenia,Eurasia Region,Peace And Security,Stabilization Operations and Security Sector Reform," $8,609.77 ",8609.77,8609.77,1
2011,4,Disbursements,Development Credit Authority,USAID,Burundi,Burundi,Economic Development,Financial Sector," $25,079.04 ",25079.04,25079.04,0
2012,3,Disbursements,Development Assistance,USAID,Nicaragua,Nicaragua,Health,Water Supply and Sanitation," $182,969.32 ",182969.32,182969.32,0
2011,4,Obligations,Development Assistance,USAID,Bangladesh,Bangladesh,Program Management,Monitoring and Evaluation," $2,485,000.00 ",2485000,2485000,0
2012,4,Obligations,Global Health & Child Survival,USAID,Honduras,Honduras,Health,Family Planning and Reproductive Health," $2,087,000.00 ",2087000,2087000,0
